Tanggal,Tahun,Bulan,NamaBulan,SKU,Produk,Kategori,Rasa,Ukuran,Packing,Lokasi,Demand,DemandValue,Capacity,Harga
2025-09-01,2025,9,September,SKU03,Product A,Food,Chocolate,Large,Bottle,Jakarta,1136,11360000,4000,10000
2025-09-01,2025,9,September,SKU04,Product A,Food,Chocolate,Small,Bottle,Bandung,1974,14805000,5000,7500
2025-09-01,2025,9,September,SKU05,Product A,Food,Vanilla,Medium,Bottle,Jakarta,4647,69705000,6000,15000
2025-09-01,2025,9,September,SKU06,Product A,Food,Berry,Medium,Bottle,Jakarta,1192,5960000,6000,5000
2025-09-01,2025,9,September,SKU07,Product A,Food,Original,Medium,Bottle,Jakarta,4325,32437500,6000,7500
2025-09-01,2025,9,September,SKU08,Product A,Food,Vanilla,Small,Box,Jakarta,3336,33360000,4000,10000
2025-09-01,2025,9,September,SKU09,Product A,Food,Chocolate,Large,Box,Jakarta,2315,11575000,6000,5000
2025-09-01,2025,9,September,SKU10,Product A,Food,Berry,Large,Bottle,Bandung,1963,14722500,6000,7500
2025-09-01,2025,9,September,SKU11,Product A,Food,Chocolate,Large,Box,Jakarta,1598,15980000,6000,10000
2025-09-01,2025,9,September,SKU12,Product A,Food,Original,Large,Box,Bandung,3059,15295000,6000,5000
2025-10-01,2025,10,October,SKU01,Product B,Food,Original,Large,Bottle,Bandung,3043,15215000,4000,5000
2025-10-01,2025,10,October,SKU02,Product B,Food,Chocolate,Medium,Box,Jakarta,3451,51765000,4000,15000
2025-10-01,2025,10,October,SKU03,Product B,Food,Berry,Medium,Bottle,Jakarta,1423,7115000,5000,5000
2025-10-01,2025,10,October,SKU04,Product B,Food,Chocolate,Medium,Bottle,Bandung,516,7740000,4000,15000
2025-10-01,2025,10,October,SKU05,Product B,Food,Original,Large,Bottle,Bandung,1075,16125000,6000,15000
2025-10-01,2025,10,October,SKU06,Product B,Food,Berry,Large,Bottle,Bandung,1856,13920000,4000,7500
2025-10-01,2025,10,October,SKU07,Product B,Food,Berry,Small,Box,Jakarta,2858,21435000,5000,7500
2025-10-01,2025,10,October,SKU08,Product B,Food,Berry,Large,Bottle,Bandung,3667,18335000,6000,5000
2025-10-01,2025,10,October,SKU09,Product B,Food,Vanilla,Small,Bottle,Bandung,1078,5390000,4000,5000
2025-10-01,2025,10,October,SKU10,Product B,Food,Vanilla,Medium,Box,Jakarta,2598,38970000,6000,15000
2025-10-01,2025,10,October,SKU11,Product B,Food,Berry,Large,Box,Jakarta,1903,19030000,6000,10000
2025-10-01,2025,10,October,SKU12,Product B,Food,Chocolate,Small,Box,Bandung,3522,35220000,6000,10000
2025-11-01,2025,11,November,SKU01,Product C,Drink,Chocolate,Medium,Box,Bandung,4086,61290000,6000,15000
2025-11-01,2025,11,November,SKU02,Product C,Drink,Berry,Small,Bottle,Jakarta,5552,55520000,4000,10000
2025-11-01,2025,11,November,SKU03,Product C,Drink,Original,Medium,Box,Bandung,4600,46000000,4000,10000
2025-11-01,2025,11,November,SKU04,Product C,Drink,Original,Medium,Box,Jakarta,6485,48637500,6000,7500
2025-11-01,2025,11,November,SKU05,Product C,Drink,Vanilla,Large,Box,Bandung,4527,67905000,5000,15000
2025-11-01,2025,11,November,SKU06,Product C,Drink,Original,Medium,Box,Jakarta,1203,12030000,5000,10000
2025-11-01,2025,11,November,SKU07,Product C,Drink,Original,Medium,Box,Jakarta,3197,47955000,4000,15000
2025-11-01,2025,11,November,SKU08,Product C,Drink,Chocolate,Large,Box,Bandung,4109,20545000,6000,5000
2025-11-01,2025,11,November,SKU09,Product C,Drink,Original,Small,Bottle,Jakarta,5448,81720000,4000,15000
2025-11-01,2025,11,November,SKU10,Product C,Drink,Chocolate,Small,Bottle,Bandung,6163,92445000,5000,15000
2025-11-01,2025,11,November,SKU11,Product C,Drink,Berry,Small,Bottle,Jakarta,1944,29160000,5000,15000
2025-11-01,2025,11,November,SKU12,Product C,Drink,Chocolate,Medium,Box,Jakarta,6027,90405000,4000,15000
2025-12-01,2025,12,December,SKU01,Product D,Drink,Chocolate,Small,Box,Bandung,4327,21635000,4000,5000
2025-12-01,2025,12,December,SKU02,Product D,Drink,Chocolate,Small,Box,Bandung,2157,32355000,6000,15000
2025-12-01,2025,12,December,SKU03,Product D,Drink,Chocolate,Small,Bottle,Bandung,1457,21855000,5000,15000
2025-12-01,2025,12,December,SKU04,Product D,Drink,Vanilla,Large,Bottle,Jakarta,3213,48195000,6000,15000
2025-12-01,2025,12,December,SKU05,Product D,Drink,Vanilla,Small,Bottle,Jakarta,5237,39277500,6000,7500
2025-12-01,2025,12,December,SKU06,Product D,Drink,Chocolate,Small,Bottle,Jakarta,807,4035000,6000,5000
2025-12-01,2025,12,December,SKU07,Product D,Drink,Chocolate,Small,Box,Jakarta,6098,60980000,6000,10000
2025-12-01,2025,12,December,SKU08,Product D,Drink,Berry,Large,Box,Jakarta,6480,64800000,6000,10000
2025-12-01,2025,12,December,SKU09,Product D,Drink,Chocolate,Large,Box,Jakarta,4843,48430000,4000,10000
2025-12-01,2025,12,December,SKU10,Product D,Drink,Chocolate,Large,Box,Jakarta,2086,31290000,6000,15000
2025-12-01,2025,12,December,SKU11,Product D,Drink,Berry,Large,Box,Bandung,829,12435000,6000,15000
2025-12-01,2025,12,December,SKU12,Product D,Drink,Vanilla,Large,Bottle,Bandung,2555,19162500,4000,7500
2026-01-01,2026,1,January,SKU01,Product A,Food,Chocolate,Large,Bottle,Bandung,3299,16495000,4000,5000
2026-01-01,2026,1,January,SKU02,Product A,Food,Chocolate,Large,Box,Bandung,1112,16680000,5000,15000
2026-01-01,2026,1,January,SKU03,Product A,Food,Chocolate,Medium,Box,Jakarta,2370,23700000,6000,10000
2026-01-01,2026,1,January,SKU04,Product A,Food,Berry,Medium,Box,Jakarta,4990,49900000,5000,10000
2026-01-01,2026,1,January,SKU05,Product A,Food,Berry,Large,Box,Bandung,3941,39410000,6000,10000
2026-01-01,2026,1,January,SKU06,Product A,Food,Original,Small,Bottle,Bandung,1897,28455000,4000,15000
2026-01-01,2026,1,January,SKU07,Product A,Food,Chocolate,Small,Box,Bandung,1240,12400000,6000,10000
2026-01-01,2026,1,January,SKU08,Product A,Food,Chocolate,Large,Bottle,Jakarta,704,3520000,4000,5000
2026-01-01,2026,1,January,SKU09,Product A,Food,Berry,Small,Box,Bandung,4047,40470000,4000,10000
2026-01-01,2026,1,January,SKU10,Product A,Food,Original,Small,Box,Bandung,601,9015000,4000,15000
2026-01-01,2026,1,January,SKU11,Product A,Food,Berry,Small,Bottle,Jakarta,4564,22820000,4000,5000
2026-01-01,2026,1,January,SKU12,Product A,Food,Vanilla,Small,Box,Bandung,2960,14800000,4000,5000
2026-02-01,2026,2,February,SKU01,Product B,Food,Vanilla,Medium,Bottle,Jakarta,870,13050000,5000,15000
2026-02-01,2026,2,February,SKU02,Product B,Food,Original,Small,Box,Bandung,3936,39360000,4000,10000
2026-02-01,2026,2,February,SKU03,Product B,Food,Berry,Large,Box,Bandung,2531,37965000,6000,15000
2026-02-01,2026,2,February,SKU04,Product B,Food,Berry,Medium,Box,Jakarta,1385,20775000,6000,15000
2026-02-01,2026,2,February,SKU05,Product B,Food,Chocolate,Small,Box,Bandung,3527,26452500,4000,7500
2026-02-01,2026,2,February,SKU06,Product B,Food,Original,Medium,Box,Jakarta,3841,38410000,6000,10000
2026-02-01,2026,2,February,SKU07,Product B,Food,Berry,Medium,Box,Jakarta,2205,16537500,5000,7500
2026-02-01,2026,2,February,SKU08,Product B,Food,Vanilla,Large,Bottle,Bandung,4955,74325000,6000,15000
2026-02-01,2026,2,February,SKU09,Product B,Food,Chocolate,Small,Bottle,Jakarta,582,8730000,6000,15000
2026-02-01,2026,2,February,SKU10,Product B,Food,Chocolate,Small,Box,Jakarta,4852,24260000,5000,5000
2026-02-01,2026,2,February,SKU11,Product B,Food,Original,Large,Box,Bandung,4817,48170000,4000,10000
2026-02-01,2026,2,February,SKU12,Product B,Food,Chocolate,Medium,Box,Bandung,522,3915000,6000,7500
2026-03-01,2026,3,March,SKU01,Product C,Drink,Original,Large,Bottle,Bandung,849,6367500,4000,7500
2026-03-01,2026,3,March,SKU02,Product C,Drink,Original,Medium,Box,Jakarta,1454,10905000,6000,7500
2026-03-01,2026,3,March,SKU03,Product C,Drink,Vanilla,Small,Bottle,Bandung,3303,24772500,6000,7500
2026-03-01,2026,3,March,SKU04,Product C,Drink,Berry,Medium,Bottle,Jakarta,1002,10020000,5000,10000
2026-03-01,2026,3,March,SKU05,Product C,Drink,Berry,Medium,Box,Bandung,1020,15300000,6000,15000
2026-03-01,2026,3,March,SKU06,Product C,Drink,Berry,Small,Box,Jakarta,4820,48200000,6000,10000
2026-03-01,2026,3,March,SKU07,Product C,Drink,Chocolate,Medium,Box,Bandung,1121,16815000,6000,15000
2026-03-01,2026,3,March,SKU08,Product C,Drink,Vanilla,Medium,Bottle,Jakarta,3854,28905000,4000,7500
2026-03-01,2026,3,March,SKU09,Product C,Drink,Original,Large,Bottle,Jakarta,1285,19275000,4000,15000
2026-03-01,2026,3,March,SKU10,Product C,Drink,Chocolate,Large,Bottle,Bandung,1670,25050000,5000,15000
2026-03-01,2026,3,March,SKU11,Product C,Drink,Original,Medium,Box,Jakarta,4743,71145000,6000,15000
2026-03-01,2026,3,March,SKU12,Product C,Drink,Chocolate,Large,Box,Bandung,2166,10830000,4000,5000
2026-04-01,2026,4,April,SKU01,Product D,Drink,Berry,Medium,Box,Jakarta,3592,17960000,4000,5000
2026-04-01,2026,4,April,SKU02,Product D,Drink,Vanilla,Medium,Bottle,Jakarta,1706,12795000,5000,7500
2026-04-01,2026,4,April,SKU03,Product D,Drink,Vanilla,Small,Bottle,Jakarta,1630,12225000,4000,7500
2026-04-01,2026,4,April,SKU04,Product D,Drink,Original,Medium,Bottle,Bandung,1628,24420000,4000,15000
2026-04-01,2026,4,April,SKU05,Product D,Drink,Original,Small,Bottle,Jakarta,4331,64965000,4000,15000
2026-04-01,2026,4,April,SKU06,Product D,Drink,Vanilla,Large,Bottle,Jakarta,2371,17782500,6000,7500
2026-04-01,2026,4,April,SKU07,Product D,Drink,Original,Medium,Bottle,Bandung,1174,8805000,6000,7500
2026-04-01,2026,4,April,SKU08,Product D,Drink,Chocolate,Large,Bottle,Bandung,2465,36975000,6000,15000
2026-04-01,2026,4,April,SKU09,Product D,Drink,Berry,Small,Box,Bandung,3194,31940000,5000,10000
2026-04-01,2026,4,April,SKU10,Product D,Drink,Chocolate,Medium,Bottle,Jakarta,3443,51645000,5000,15000
2026-04-01,2026,4,April,SKU11,Product D,Drink,Original,Small,Bottle,Jakarta,2540,38100000,5000,15000
2026-04-01,2026,4,April,SKU12,Product D,Drink,Vanilla,Medium,Box,Bandung,3369,33690000,6000,10000
2026-05-01,2026,5,May,SKU01,Product A,Food,Vanilla,Large,Bottle,Bandung,4236,42360000,5000,10000
2026-05-01,2026,5,May,SKU02,Product A,Food,Chocolate,Large,Box,Jakarta,2893,21697500,5000,7500
2026-05-01,2026,5,May,SKU03,Product A,Food,Chocolate,Large,Box,Bandung,2589,19417500,4000,7500
2026-05-01,2026,5,May,SKU04,Product A,Food,Berry,Medium,Box,Jakarta,3562,35620000,4000,10000
2026-05-01,2026,5,May,SKU05,Product A,Food,Original,Large,Box,Jakarta,3281,49215000,6000,15000
2026-05-01,2026,5,May,SKU06,Product A,Food,Original,Medium,Bottle,Bandung,2850,28500000,4000,10000
2026-05-01,2026,5,May,SKU07,Product A,Food,Vanilla,Medium,Box,Bandung,3544,26580000,6000,7500
2026-05-01,2026,5,May,SKU08,Product A,Food,Original,Medium,Bottle,Bandung,1189,11890000,6000,10000
2026-05-01,2026,5,May,SKU09,Product A,Food,Berry,Small,Box,Bandung,863,6472500,4000,7500
2026-05-01,2026,5,May,SKU10,Product A,Food,Original,Large,Box,Jakarta,839,8390000,6000,10000
2026-05-01,2026,5,May,SKU11,Product A,Food,Original,Small,Bottle,Bandung,2469,12345000,4000,5000
2026-05-01,2026,5,May,SKU12,Product A,Food,Chocolate,Small,Bottle,Bandung,3243,16215000,4000,5000
2026-06-01,2026,6,June,SKU01,Product B,Food,Berry,Large,Box,Jakarta,1330,19950000,4000,15000
2026-06-01,2026,6,June,SKU02,Product B,Food,Berry,Medium,Bottle,Bandung,3029,45435000,6000,15000
2026-06-01,2026,6,June,SKU03,Product B,Food,Original,Medium,Box,Bandung,1432,21480000,5000,15000
2026-06-01,2026,6,June,SKU04,Product B,Food,Berry,Large,Bottle,Jakarta,3562,53430000,6000,15000
2026-06-01,2026,6,June,SKU05,Product B,Food,Original,Large,Box,Jakarta,4903,73545000,5000,15000
2026-06-01,2026,6,June,SKU06,Product B,Food,Original,Medium,Bottle,Jakarta,924,13860000,4000,15000
2026-06-01,2026,6,June,SKU07,Product B,Food,Chocolate,Large,Box,Bandung,3484,52260000,4000,15000
2026-06-01,2026,6,June,SKU08,Product B,Food,Berry,Large,Bottle,Jakarta,2898,43470000,6000,15000
2026-06-01,2026,6,June,SKU09,Product B,Food,Berry,Small,Bottle,Bandung,4235,21175000,6000,5000
2026-06-01,2026,6,June,SKU10,Product B,Food,Vanilla,Large,Box,Bandung,5591,27955000,4000,5000
2026-06-01,2026,6,June,SKU11,Product B,Food,Vanilla,Small,Bottle,Bandung,835,8350000,6000,10000
2026-06-01,2026,6,June,SKU12,Product B,Food,Vanilla,Large,Bottle,Bandung,4810,72150000,4000,15000
2026-07-01,2026,7,July,SKU01,Product C,Drink,Chocolate,Small,Bottle,Bandung,4630,23150000,6000,5000
2026-07-01,2026,7,July,SKU02,Product C,Drink,Chocolate,Small,Box,Jakarta,2508,37620000,5000,15000
2026-07-01,2026,7,July,SKU03,Product C,Drink,Berry,Small,Box,Jakarta,5014,50140000,4000,10000
2026-07-01,2026,7,July,SKU04,Product C,Drink,Berry,Small,Box,Bandung,2730,13650000,5000,5000
2026-07-01,2026,7,July,SKU05,Product C,Drink,Chocolate,Medium,Box,Bandung,1454,10905000,5000,7500
2026-07-01,2026,7,July,SKU06,Product C,Drink,Original,Large,Bottle,Jakarta,3834,38340000,6000,10000
2026-07-01,2026,7,July,SKU07,Product C,Drink,Chocolate,Small,Box,Bandung,3016,30160000,5000,10000
2026-07-01,2026,7,July,SKU08,Product C,Drink,Vanilla,Medium,Box,Bandung,1539,15390000,4000,10000
2026-07-01,2026,7,July,SKU09,Product C,Drink,Vanilla,Medium,Bottle,Bandung,3492,17460000,6000,5000
2026-07-01,2026,7,July,SKU10,Product C,Drink,Chocolate,Large,Box,Jakarta,5328,53280000,4000,10000
2026-07-01,2026,7,July,SKU11,Product C,Drink,Original,Large,Bottle,Bandung,2437,24370000,5000,10000
2026-07-01,2026,7,July,SKU12,Product C,Drink,Original,Large,Bottle,Jakarta,1185,5925000,4000,5000
2026-08-01,2026,8,August,SKU01,Product D,Drink,Berry,Medium,Bottle,Jakarta,2689,40335000,5000,15000
2026-08-01,2026,8,August,SKU02,Product D,Drink,Chocolate,Large,Bottle,Bandung,3989,19945000,4000,5000
2026-08-01,2026,8,August,SKU03,Product D,Drink,Chocolate,Small,Box,Bandung,1204,6020000,5000,5000
2026-08-01,2026,8,August,SKU04,Product D,Drink,Vanilla,Small,Bottle,Bandung,3781,56715000,5000,15000
2026-08-01,2026,8,August,SKU05,Product D,Drink,Vanilla,Medium,Bottle,Bandung,546,4095000,6000,7500
2026-08-01,2026,8,August,SKU06,Product D,Drink,Vanilla,Small,Bottle,Jakarta,2090,15675000,5000,7500
2026-08-01,2026,8,August,SKU07,Product D,Drink,Original,Small,Bottle,Jakarta,4150,20750000,6000,5000
2026-08-01,2026,8,August,SKU08,Product D,Drink,Chocolate,Small,Box,Jakarta,2419,24190000,4000,10000
2026-08-01,2026,8,August,SKU09,Product D,Drink,Chocolate,Medium,Box,Jakarta,1773,8865000,6000,5000
2026-08-01,2026,8,August,SKU10,Product D,Drink,Original,Medium,Bottle,Bandung,4407,33052500,6000,7500
2026-08-01,2026,8,August,SKU11,Product D,Drink,Vanilla,Small,Box,Jakarta,4535,34012500,6000,7500
2026-08-01,2026,8,August,SKU12,Product D,Drink,Berry,Large,Box,Jakarta,3485,52275000,4000,15000
2026-09-01,2026,9,September,SKU01,Product A,Food,Vanilla,Large,Bottle,Jakarta,4952,24760000,5000,5000
2026-09-01,2026,9,September,SKU02,Product A,Food,Vanilla,Small,Box,Bandung,3012,30120000,4000,10000
2026-09-01,2026,9,September,SKU03,Product A,Food,Original,Large,Box,Jakarta,897,4485000,4000,5000
2026-09-01,2026,9,September,SKU04,Product A,Food,Original,Large,Box,Bandung,3084,23130000,6000,7500
2026-09-01,2026,9,September,SKU05,Product A,Food,Vanilla,Small,Bottle,Jakarta,1956,14670000,4000,7500
2026-09-01,2026,9,September,SKU06,Product A,Food,Chocolate,Small,Bottle,Bandung,2411,36165000,6000,15000
2026-09-01,2026,9,September,SKU07,Product A,Food,Original,Small,Bottle,Bandung,4831,48310000,6000,10000
2026-09-01,2026,9,September,SKU08,Product A,Food,Vanilla,Small,Bottle,Jakarta,4194,41940000,6000,10000
2026-09-01,2026,9,September,SKU09,Product A,Food,Chocolate,Medium,Box,Jakarta,2264,11320000,6000,5000
2026-09-01,2026,9,September,SKU10,Product A,Food,Chocolate,Small,Box,Jakarta,2410,24100000,4000,10000
2026-09-01,2026,9,September,SKU11,Product A,Food,Vanilla,Medium,Bottle,Bandung,2170,16275000,4000,7500
2026-09-01,2026,9,September,SKU12,Product A,Food,Chocolate,Small,Bottle,Jakarta,1407,10552500,5000,7500
2026-10-01,2026,10,October,SKU01,Product B,Food,Original,Small,Bottle,Bandung,2746,27460000,6000,10000
2026-10-01,2026,10,October,SKU02,Product B,Food,Chocolate,Small,Bottle,Bandung,1199,11990000,4000,10000
2026-10-01,2026,10,October,SKU03,Product B,Food,Berry,Large,Box,Bandung,4520,45200000,4000,10000
2026-10-01,2026,10,October,SKU04,Product B,Food,Original,Large,Box,Bandung,3099,23242500,6000,7500
2026-10-01,2026,10,October,SKU05,Product B,Food,Original,Medium,Box,Bandung,1714,17140000,4000,10000
2026-10-01,2026,10,October,SKU06,Product B,Food,Original,Medium,Box,Jakarta,4837,24185000,4000,5000
2026-10-01,2026,10,October,SKU07,Product B,Food,Berry,Small,Bottle,Jakarta,2819,42285000,5000,15000
2026-10-01,2026,10,October,SKU08,Product B,Food,Berry,Large,Box,Bandung,727,7270000,4000,10000
2026-10-01,2026,10,October,SKU09,Product B,Food,Original,Medium,Box,Jakarta,3527,17635000,4000,5000
2026-10-01,2026,10,October,SKU10,Product B,Food,Vanilla,Large,Bottle,Bandung,4015,40150000,5000,10000
2026-10-01,2026,10,October,SKU11,Product B,Food,Vanilla,Small,Bottle,Bandung,2765,20737500,5000,7500
2026-10-01,2026,10,October,SKU12,Product B,Food,Chocolate,Large,Box,Jakarta,3141,47115000,5000,15000
2026-11-01,2026,11,November,SKU01,Product C,Drink,Berry,Small,Bottle,Bandung,3939,59085000,5000,15000
2026-11-01,2026,11,November,SKU02,Product C,Drink,Berry,Large,Bottle,Jakarta,6438,96570000,4000,15000
2026-11-01,2026,11,November,SKU03,Product C,Drink,Chocolate,Large,Box,Jakarta,2409,36135000,4000,15000
2026-11-01,2026,11,November,SKU04,Product C,Drink,Berry,Large,Bottle,Bandung,4101,20505000,6000,5000
2026-11-01,2026,11,November,SKU05,Product C,Drink,Original,Large,Box,Bandung,5478,41085000,6000,7500
2026-11-01,2026,11,November,SKU06,Product C,Drink,Original,Large,Box,Bandung,4634,23170000,4000,5000
2026-11-01,2026,11,November,SKU07,Product C,Drink,Chocolate,Large,Box,Jakarta,4767,23835000,6000,5000
2026-11-01,2026,11,November,SKU08,Product C,Drink,Original,Small,Box,Bandung,2553,19147500,5000,7500
2026-11-01,2026,11,November,SKU09,Product C,Drink,Chocolate,Large,Box,Jakarta,1599,23985000,5000,15000
2026-11-01,2026,11,November,SKU10,Product C,Drink,Vanilla,Large,Bottle,Jakarta,2404,24040000,4000,10000
2026-11-01,2026,11,November,SKU11,Product C,Drink,Chocolate,Large,Bottle,Bandung,3736,56040000,5000,15000
2026-11-01,2026,11,November,SKU12,Product C,Drink,Vanilla,Medium,Box,Jakarta,4716,70740000,5000,15000
2026-12-01,2026,12,December,SKU01,Product D,Drink,Chocolate,Large,Box,Jakarta,2863,28630000,4000,10000
2026-12-01,2026,12,December,SKU02,Product D,Drink,Chocolate,Medium,Box,Jakarta,2080,20800000,4000,10000
2026-12-01,2026,12,December,SKU03,Product D,Drink,Vanilla,Small,Bottle,Jakarta,5050,25250000,5000,5000
2026-12-01,2026,12,December,SKU04,Product D,Drink,Chocolate,Large,Bottle,Jakarta,1954,9770000,5000,5000
2026-12-01,2026,12,December,SKU05,Product D,Drink,Berry,Large,Box,Bandung,6112,91680000,5000,15000
2026-12-01,2026,12,December,SKU06,Product D,Drink,Original,Small,Bottle,Jakarta,4853,72795000,4000,15000
2026-12-01,2026,12,December,SKU07,Product D,Drink,Original,Medium,Bottle,Bandung,1708,12810000,4000,7500
2026-12-01,2026,12,December,SKU08,Product D,Drink,Original,Medium,Bottle,Bandung,5578,27890000,6000,5000
2026-12-01,2026,12,December,SKU09,Product D,Drink,Chocolate,Large,Box,Bandung,1285,19275000,4000,15000
2026-12-01,2026,12,December,SKU10,Product D,Drink,Original,Medium,Bottle,Bandung,2343,11715000,4000,5000
2026-12-01,2026,12,December,SKU11,Product D,Drink,Vanilla,Large,Bottle,Bandung,1646,24690000,6000,15000
2026-12-01,2026,12,December,SKU12,Product D,Drink,Original,Medium,Box,Bandung,3740,28050000,5000,7500
