Tanggal,SKU,Tahun,Bulan,NamaBulan,Produk,Kategori,Rasa,Ukuran,Packing,Lokasi,Permintaan,Harga,Kapasitas,TahunBulan,DemandValue
2026-12-01,SKU06,2026,12,December,Product D,Drink,Original,Small,Bottle,Jakarta,4853,15000,4000,2026-12-01,72795000
2024-01-01,SKU07,2024,1,January,Product A,Food,Berry,Small,Bottle,Jakarta,1268,10000,4000,2024-01-01,12680000
2024-02-01,SKU07,2024,2,February,Product B,Food,Chocolate,Large,Bottle,Jakarta,1416,5000,4000,2024-02-01,7080000
2024-03-01,SKU07,2024,3,March,Product C,Drink,Berry,Large,Box,Jakarta,4444,10000,6000,2024-03-01,44440000
2024-04-01,SKU07,2024,4,April,Product D,Drink,Vanilla,Medium,Bottle,Jakarta,4269,10000,6000,2024-04-01,42690000
2024-05-01,SKU07,2024,5,May,Product A,Food,Original,Small,Box,Jakarta,3743,7500,6000,2024-05-01,28072500
2024-06-01,SKU07,2024,6,June,Product B,Food,Vanilla,Large,Box,Jakarta,2030,10000,6000,2024-06-01,20300000
2024-07-01,SKU07,2024,7,July,Product C,Drink,Chocolate,Large,Box,Bandung,1662,15000,5000,2024-07-01,24930000
2024-08-01,SKU07,2024,8,August,Product D,Drink,Vanilla,Large,Box,Bandung,2724,5000,6000,2024-08-01,13620000
2024-09-01,SKU07,2024,9,September,Product A,Food,Original,Small,Bottle,Jakarta,2848,5000,6000,2024-09-01,14240000
2024-10-01,SKU07,2024,10,October,Product B,Food,Berry,Large,Box,Bandung,1489,5000,4000,2024-10-01,7445000
2024-11-01,SKU07,2024,11,November,Product C,Drink,Chocolate,Large,Box,Jakarta,5114,10000,4000,2024-11-01,51140000
2024-12-01,SKU07,2024,12,December,Product D,Drink,Chocolate,Small,Bottle,Jakarta,793,5000,5000,2024-12-01,3965000
2025-01-01,SKU07,2025,1,January,Product A,Food,Berry,Medium,Box,Jakarta,3702,7500,4000,2025-01-01,27765000
2025-02-01,SKU07,2025,2,February,Product B,Food,Vanilla,Small,Box,Jakarta,4284,5000,6000,2025-02-01,21420000
2025-03-01,SKU07,2025,3,March,Product C,Drink,Chocolate,Medium,Box,Bandung,4689,7500,5000,2025-03-01,35167500
2025-04-01,SKU07,2025,4,April,Product D,Drink,Berry,Medium,Box,Bandung,3479,15000,4000,2025-04-01,52185000
2025-05-01,SKU07,2025,5,May,Product A,Food,Berry,Small,Box,Bandung,1715,5000,6000,2025-05-01,8575000
2025-06-01,SKU07,2025,6,June,Product B,Food,Chocolate,Large,Box,Jakarta,1704,15000,4000,2025-06-01,25560000
2025-07-01,SKU07,2025,7,July,Product C,Drink,Original,Small,Box,Jakarta,5066,15000,4000,2025-07-01,75990000
2025-08-01,SKU07,2025,8,August,Product D,Drink,Original,Medium,Bottle,Bandung,611,7500,6000,2025-08-01,4582500
2025-09-01,SKU07,2025,9,September,Product A,Food,Original,Medium,Bottle,Jakarta,4325,7500,6000,2025-09-01,32437500
2025-10-01,SKU07,2025,10,October,Product B,Food,Berry,Small,Box,Jakarta,2858,7500,5000,2025-10-01,21435000
2025-11-01,SKU07,2025,11,November,Product C,Drink,Original,Medium,Box,Jakarta,3197,15000,4000,2025-11-01,47955000
2025-12-01,SKU07,2025,12,December,Product D,Drink,Chocolate,Small,Box,Jakarta,6098,10000,6000,2025-12-01,60980000
2026-01-01,SKU07,2026,1,January,Product A,Food,Chocolate,Small,Box,Bandung,1240,10000,6000,2026-01-01,12400000
2026-02-01,SKU07,2026,2,February,Product B,Food,Berry,Medium,Box,Jakarta,2205,7500,5000,2026-02-01,16537500
2026-03-01,SKU07,2026,3,March,Product C,Drink,Chocolate,Medium,Box,Bandung,1121,15000,6000,2026-03-01,16815000
2026-04-01,SKU07,2026,4,April,Product D,Drink,Original,Medium,Bottle,Bandung,1174,7500,6000,2026-04-01,8805000
2026-05-01,SKU07,2026,5,May,Product A,Food,Vanilla,Medium,Box,Bandung,3544,7500,6000,2026-05-01,26580000
2026-06-01,SKU07,2026,6,June,Product B,Food,Chocolate,Large,Box,Bandung,3484,15000,4000,2026-06-01,52260000
2026-07-01,SKU07,2026,7,July,Product C,Drink,Chocolate,Small,Box,Bandung,3016,10000,5000,2026-07-01,30160000
2026-08-01,SKU07,2026,8,August,Product D,Drink,Original,Small,Bottle,Jakarta,4150,5000,6000,2026-08-01,20750000
2026-09-01,SKU07,2026,9,September,Product A,Food,Original,Small,Bottle,Bandung,4831,10000,6000,2026-09-01,48310000
2026-10-01,SKU07,2026,10,October,Product B,Food,Berry,Small,Bottle,Jakarta,2819,15000,5000,2026-10-01,42285000
2026-11-01,SKU07,2026,11,November,Product C,Drink,Chocolate,Large,Box,Jakarta,4767,5000,6000,2026-11-01,23835000
2026-12-01,SKU07,2026,12,December,Product D,Drink,Original,Medium,Bottle,Bandung,1708,7500,4000,2026-12-01,12810000
2024-01-01,SKU08,2024,1,January,Product A,Food,Berry,Small,Bottle,Jakarta,2097,10000,4000,2024-01-01,20970000
2024-02-01,SKU08,2024,2,February,Product B,Food,Chocolate,Small,Box,Bandung,725,7500,6000,2024-02-01,5437500
2024-03-01,SKU08,2024,3,March,Product C,Drink,Chocolate,Large,Box,Jakarta,1186,7500,5000,2024-03-01,8895000
2024-04-01,SKU08,2024,4,April,Product D,Drink,Chocolate,Large,Bottle,Jakarta,947,5000,5000,2024-04-01,4735000
2024-05-01,SKU08,2024,5,May,Product A,Food,Vanilla,Small,Bottle,Jakarta,1761,7500,4000,2024-05-01,13207500
2024-06-01,SKU08,2024,6,June,Product B,Food,Vanilla,Small,Bottle,Jakarta,2580,15000,4000,2024-06-01,38700000
2024-07-01,SKU08,2024,7,July,Product C,Drink,Berry,Medium,Bottle,Bandung,3857,15000,4000,2024-07-01,57855000
2024-08-01,SKU08,2024,8,August,Product D,Drink,Chocolate,Large,Bottle,Bandung,3682,10000,6000,2024-08-01,36820000
2024-09-01,SKU08,2024,9,September,Product A,Food,Original,Small,Bottle,Bandung,1967,15000,4000,2024-09-01,29505000
2024-10-01,SKU08,2024,10,October,Product B,Food,Berry,Small,Bottle,Bandung,4843,7500,4000,2024-10-01,36322500
2024-11-01,SKU08,2024,11,November,Product C,Drink,Original,Large,Bottle,Bandung,4724,10000,6000,2024-11-01,47240000
2024-12-01,SKU08,2024,12,December,Product D,Drink,Vanilla,Small,Box,Bandung,1592,10000,5000,2024-12-01,15920000
2025-01-01,SKU08,2025,1,January,Product A,Food,Berry,Medium,Box,Jakarta,2161,15000,6000,2025-01-01,32415000
2025-02-01,SKU08,2025,2,February,Product B,Food,Vanilla,Medium,Bottle,Bandung,1860,7500,5000,2025-02-01,13950000
2025-03-01,SKU08,2025,3,March,Product C,Drink,Berry,Large,Box,Jakarta,2561,5000,6000,2025-03-01,12805000
2025-04-01,SKU08,2025,4,April,Product D,Drink,Vanilla,Small,Bottle,Bandung,4205,5000,6000,2025-04-01,21025000
2025-05-01,SKU08,2025,5,May,Product A,Food,Chocolate,Large,Box,Bandung,1546,7500,6000,2025-05-01,11595000
2025-06-01,SKU08,2025,6,June,Product B,Food,Chocolate,Small,Box,Jakarta,2657,10000,4000,2025-06-01,26570000
2025-07-01,SKU08,2025,7,July,Product C,Drink,Chocolate,Large,Bottle,Bandung,5603,7500,5000,2025-07-01,42022500
2025-08-01,SKU08,2025,8,August,Product D,Drink,Chocolate,Large,Bottle,Jakarta,1060,5000,6000,2025-08-01,5300000
2025-09-01,SKU08,2025,9,September,Product A,Food,Vanilla,Small,Box,Jakarta,3336,10000,4000,2025-09-01,33360000
2025-10-01,SKU08,2025,10,October,Product B,Food,Berry,Large,Bottle,Bandung,3667,5000,6000,2025-10-01,18335000
2025-11-01,SKU08,2025,11,November,Product C,Drink,Chocolate,Large,Box,Bandung,4109,5000,6000,2025-11-01,20545000
2025-12-01,SKU08,2025,12,December,Product D,Drink,Berry,Large,Box,Jakarta,6480,10000,6000,2025-12-01,64800000
2026-01-01,SKU08,2026,1,January,Product A,Food,Chocolate,Large,Bottle,Jakarta,704,5000,4000,2026-01-01,3520000
2026-02-01,SKU08,2026,2,February,Product B,Food,Vanilla,Large,Bottle,Bandung,4955,15000,6000,2026-02-01,74325000
2026-03-01,SKU08,2026,3,March,Product C,Drink,Vanilla,Medium,Bottle,Jakarta,3854,7500,4000,2026-03-01,28905000
2026-04-01,SKU08,2026,4,April,Product D,Drink,Chocolate,Large,Bottle,Bandung,2465,15000,6000,2026-04-01,36975000
2026-05-01,SKU08,2026,5,May,Product A,Food,Original,Medium,Bottle,Bandung,1189,10000,6000,2026-05-01,11890000
2026-06-01,SKU08,2026,6,June,Product B,Food,Berry,Large,Bottle,Jakarta,2898,15000,6000,2026-06-01,43470000
2026-07-01,SKU08,2026,7,July,Product C,Drink,Vanilla,Medium,Box,Bandung,1539,10000,4000,2026-07-01,15390000
2026-08-01,SKU08,2026,8,August,Product D,Drink,Chocolate,Small,Box,Jakarta,2419,10000,4000,2026-08-01,24190000
2026-09-01,SKU08,2026,9,September,Product A,Food,Vanilla,Small,Bottle,Jakarta,4194,10000,6000,2026-09-01,41940000
2026-10-01,SKU08,2026,10,October,Product B,Food,Berry,Large,Box,Bandung,727,10000,4000,2026-10-01,7270000
2026-11-01,SKU08,2026,11,November,Product C,Drink,Original,Small,Box,Bandung,2553,7500,5000,2026-11-01,19147500
2026-12-01,SKU08,2026,12,December,Product D,Drink,Original,Medium,Bottle,Bandung,5578,5000,6000,2026-12-01,27890000
2024-01-01,SKU09,2024,1,January,Product A,Food,Chocolate,Small,Box,Jakarta,681,10000,4000,2024-01-01,6810000
2024-02-01,SKU09,2024,2,February,Product B,Food,Original,Medium,Box,Bandung,4063,7500,4000,2024-02-01,30472500
2024-03-01,SKU09,2024,3,March,Product C,Drink,Chocolate,Medium,Bottle,Jakarta,4827,5000,4000,2024-03-01,24135000
2024-04-01,SKU09,2024,4,April,Product D,Drink,Chocolate,Small,Box,Jakarta,3474,5000,6000,2024-04-01,17370000
2024-05-01,SKU09,2024,5,May,Product A,Food,Chocolate,Small,Box,Bandung,539,10000,6000,2024-05-01,5390000
2024-06-01,SKU09,2024,6,June,Product B,Food,Chocolate,Medium,Bottle,Jakarta,2985,7500,6000,2024-06-01,22387500
2024-07-01,SKU09,2024,7,July,Product C,Drink,Vanilla,Large,Bottle,Jakarta,4283,7500,5000,2024-07-01,32122500
2024-08-01,SKU09,2024,8,August,Product D,Drink,Berry,Small,Box,Bandung,627,15000,4000,2024-08-01,9405000
2024-09-01,SKU09,2024,9,September,Product A,Food,Berry,Medium,Bottle,Jakarta,4305,7500,5000,2024-09-01,32287500
2024-10-01,SKU09,2024,10,October,Product B,Food,Berry,Small,Bottle,Jakarta,3859,7500,5000,2024-10-01,28942500
2024-11-01,SKU09,2024,11,November,Product C,Drink,Vanilla,Medium,Bottle,Bandung,2195,7500,6000,2024-11-01,16462500
2024-12-01,SKU09,2024,12,December,Product D,Drink,Chocolate,Large,Box,Jakarta,5014,5000,6000,2024-12-01,25070000
2025-01-01,SKU09,2025,1,January,Product A,Food,Berry,Medium,Bottle,Jakarta,3522,15000,5000,2025-01-01,52830000
2025-02-01,SKU09,2025,2,February,Product B,Food,Berry,Medium,Bottle,Bandung,1274,15000,6000,2025-02-01,19110000
2025-03-01,SKU09,2025,3,March,Product C,Drink,Chocolate,Large,Bottle,Jakarta,3514,10000,4000,2025-03-01,35140000
2025-04-01,SKU09,2025,4,April,Product D,Drink,Berry,Small,Bottle,Jakarta,4687,10000,6000,2025-04-01,46870000
2025-05-01,SKU09,2025,5,May,Product A,Food,Chocolate,Medium,Box,Bandung,4329,10000,4000,2025-05-01,43290000
2025-06-01,SKU09,2025,6,June,Product B,Food,Chocolate,Large,Box,Bandung,4617,7500,5000,2025-06-01,34627500
2025-07-01,SKU09,2025,7,July,Product C,Drink,Berry,Large,Box,Bandung,4124,10000,4000,2025-07-01,41240000
2025-08-01,SKU09,2025,8,August,Product D,Drink,Vanilla,Small,Box,Bandung,3161,7500,5000,2025-08-01,23707500
2025-09-01,SKU09,2025,9,September,Product A,Food,Chocolate,Large,Box,Jakarta,2315,5000,6000,2025-09-01,11575000
2025-10-01,SKU09,2025,10,October,Product B,Food,Vanilla,Small,Bottle,Bandung,1078,5000,4000,2025-10-01,5390000
2025-11-01,SKU09,2025,11,November,Product C,Drink,Original,Small,Bottle,Jakarta,5448,15000,4000,2025-11-01,81720000
2025-12-01,SKU09,2025,12,December,Product D,Drink,Chocolate,Large,Box,Jakarta,4843,10000,4000,2025-12-01,48430000
2026-01-01,SKU09,2026,1,January,Product A,Food,Berry,Small,Box,Bandung,4047,10000,4000,2026-01-01,40470000
2026-02-01,SKU09,2026,2,February,Product B,Food,Chocolate,Small,Bottle,Jakarta,582,15000,6000,2026-02-01,8730000
2026-03-01,SKU09,2026,3,March,Product C,Drink,Original,Large,Bottle,Jakarta,1285,15000,4000,2026-03-01,19275000
2026-04-01,SKU09,2026,4,April,Product D,Drink,Berry,Small,Box,Bandung,3194,10000,5000,2026-04-01,31940000
2026-05-01,SKU09,2026,5,May,Product A,Food,Berry,Small,Box,Bandung,863,7500,4000,2026-05-01,6472500
2026-06-01,SKU09,2026,6,June,Product B,Food,Berry,Small,Bottle,Bandung,4235,5000,6000,2026-06-01,21175000
2026-07-01,SKU09,2026,7,July,Product C,Drink,Vanilla,Medium,Bottle,Bandung,3492,5000,6000,2026-07-01,17460000
2026-08-01,SKU09,2026,8,August,Product D,Drink,Chocolate,Medium,Box,Jakarta,1773,5000,6000,2026-08-01,8865000
2026-09-01,SKU09,2026,9,September,Product A,Food,Chocolate,Medium,Box,Jakarta,2264,5000,6000,2026-09-01,11320000
2026-10-01,SKU09,2026,10,October,Product B,Food,Original,Medium,Box,Jakarta,3527,5000,4000,2026-10-01,17635000
2026-11-01,SKU09,2026,11,November,Product C,Drink,Chocolate,Large,Box,Jakarta,1599,15000,5000,2026-11-01,23985000
2026-12-01,SKU09,2026,12,December,Product D,Drink,Chocolate,Large,Box,Bandung,1285,15000,4000,2026-12-01,19275000
2024-01-01,SKU10,2024,1,January,Product A,Food,Original,Medium,Bottle,Jakarta,2900,7500,5000,2024-01-01,21750000
2024-02-01,SKU10,2024,2,February,Product B,Food,Vanilla,Small,Bottle,Jakarta,964,5000,5000,2024-02-01,4820000
2024-03-01,SKU10,2024,3,March,Product C,Drink,Chocolate,Large,Box,Jakarta,920,7500,6000,2024-03-01,6900000
2024-04-01,SKU10,2024,4,April,Product D,Drink,Berry,Small,Box,Bandung,3380,7500,5000,2024-04-01,25350000
2024-05-01,SKU10,2024,5,May,Product A,Food,Chocolate,Large,Bottle,Bandung,3038,10000,4000,2024-05-01,30380000
2024-06-01,SKU10,2024,6,June,Product B,Food,Berry,Large,Box,Jakarta,2156,5000,6000,2024-06-01,10780000
2024-07-01,SKU10,2024,7,July,Product C,Drink,Original,Large,Box,Bandung,1952,10000,4000,2024-07-01,19520000
2024-08-01,SKU10,2024,8,August,Product D,Drink,Berry,Small,Box,Jakarta,3346,10000,6000,2024-08-01,33460000
2024-09-01,SKU10,2024,9,September,Product A,Food,Chocolate,Medium,Box,Jakarta,4238,5000,4000,2024-09-01,21190000
2024-10-01,SKU10,2024,10,October,Product B,Food,Chocolate,Large,Box,Bandung,731,7500,5000,2024-10-01,5482500
2024-11-01,SKU10,2024,11,November,Product C,Drink,Chocolate,Large,Bottle,Bandung,6455,15000,6000,2024-11-01,96825000
2024-12-01,SKU10,2024,12,December,Product D,Drink,Chocolate,Small,Bottle,Jakarta,779,10000,5000,2024-12-01,7790000
2025-01-01,SKU10,2025,1,January,Product A,Food,Original,Small,Box,Jakarta,1309,7500,6000,2025-01-01,9817500
2025-02-01,SKU10,2025,2,February,Product B,Food,Vanilla,Small,Box,Jakarta,1979,5000,5000,2025-02-01,9895000
2025-03-01,SKU10,2025,3,March,Product C,Drink,Chocolate,Large,Box,Bandung,4347,10000,5000,2025-03-01,43470000
2025-04-01,SKU10,2025,4,April,Product D,Drink,Chocolate,Large,Bottle,Bandung,1330,7500,5000,2025-04-01,9975000
2025-05-01,SKU10,2025,5,May,Product A,Food,Chocolate,Small,Bottle,Jakarta,4079,5000,6000,2025-05-01,20395000
2025-06-01,SKU10,2025,6,June,Product B,Food,Berry,Small,Bottle,Bandung,5020,10000,5000,2025-06-01,50200000
2025-07-01,SKU10,2025,7,July,Product C,Drink,Berry,Medium,Box,Bandung,3018,5000,5000,2025-07-01,15090000
2025-08-01,SKU10,2025,8,August,Product D,Drink,Vanilla,Large,Box,Bandung,3417,7500,6000,2025-08-01,25627500
2025-09-01,SKU10,2025,9,September,Product A,Food,Berry,Large,Bottle,Bandung,1963,7500,6000,2025-09-01,14722500
2025-10-01,SKU10,2025,10,October,Product B,Food,Vanilla,Medium,Box,Jakarta,2598,15000,6000,2025-10-01,38970000
2025-11-01,SKU10,2025,11,November,Product C,Drink,Chocolate,Small,Bottle,Bandung,6163,15000,5000,2025-11-01,92445000
2025-12-01,SKU10,2025,12,December,Product D,Drink,Chocolate,Large,Box,Jakarta,2086,15000,6000,2025-12-01,31290000
2026-01-01,SKU10,2026,1,January,Product A,Food,Original,Small,Box,Bandung,601,15000,4000,2026-01-01,9015000
2026-02-01,SKU10,2026,2,February,Product B,Food,Chocolate,Small,Box,Jakarta,4852,5000,5000,2026-02-01,24260000
2026-03-01,SKU10,2026,3,March,Product C,Drink,Chocolate,Large,Bottle,Bandung,1670,15000,5000,2026-03-01,25050000
2026-04-01,SKU10,2026,4,April,Product D,Drink,Chocolate,Medium,Bottle,Jakarta,3443,15000,5000,2026-04-01,51645000
2026-05-01,SKU10,2026,5,May,Product A,Food,Original,Large,Box,Jakarta,839,10000,6000,2026-05-01,8390000
2026-06-01,SKU10,2026,6,June,Product B,Food,Vanilla,Large,Box,Bandung,5591,5000,4000,2026-06-01,27955000
2026-07-01,SKU10,2026,7,July,Product C,Drink,Chocolate,Large,Box,Jakarta,5328,10000,4000,2026-07-01,53280000
2026-08-01,SKU10,2026,8,August,Product D,Drink,Original,Medium,Bottle,Bandung,4407,7500,6000,2026-08-01,33052500
2026-09-01,SKU10,2026,9,September,Product A,Food,Chocolate,Small,Box,Jakarta,2410,10000,4000,2026-09-01,24100000
2026-10-01,SKU10,2026,10,October,Product B,Food,Vanilla,Large,Bottle,Bandung,4015,10000,5000,2026-10-01,40150000
2026-11-01,SKU10,2026,11,November,Product C,Drink,Vanilla,Large,Bottle,Jakarta,2404,10000,4000,2026-11-01,24040000
2026-12-01,SKU10,2026,12,December,Product D,Drink,Original,Medium,Bottle,Bandung,2343,5000,4000,2026-12-01,11715000
2024-01-01,SKU11,2024,1,January,Product A,Food,Berry,Medium,Box,Bandung,4997,15000,6000,2024-01-01,74955000
2024-02-01,SKU11,2024,2,February,Product B,Food,Chocolate,Medium,Bottle,Jakarta,4942,5000,4000,2024-02-01,24710000
2024-03-01,SKU11,2024,3,March,Product C,Drink,Chocolate,Large,Bottle,Bandung,2660,15000,4000,2024-03-01,39900000
2024-04-01,SKU11,2024,4,April,Product D,Drink,Chocolate,Large,Box,Bandung,3930,5000,5000,2024-04-01,19650000
2024-05-01,SKU11,2024,5,May,Product A,Food,Berry,Medium,Box,Jakarta,1979,15000,5000,2024-05-01,29685000
2024-06-01,SKU11,2024,6,June,Product B,Food,Chocolate,Small,Box,Jakarta,1798,5000,6000,2024-06-01,8990000
2024-07-01,SKU11,2024,7,July,Product C,Drink,Berry,Small,Box,Jakarta,3772,7500,6000,2024-07-01,28290000
2024-08-01,SKU11,2024,8,August,Product D,Drink,Chocolate,Small,Bottle,Jakarta,2032,7500,6000,2024-08-01,15240000
2024-09-01,SKU11,2024,9,September,Product A,Food,Original,Medium,Box,Jakarta,763,5000,6000,2024-09-01,3815000
2024-10-01,SKU11,2024,10,October,Product B,Food,Chocolate,Small,Box,Bandung,4919,15000,6000,2024-10-01,73785000
2024-11-01,SKU11,2024,11,November,Product C,Drink,Vanilla,Medium,Box,Bandung,4675,5000,5000,2024-11-01,23375000
2024-12-01,SKU11,2024,12,December,Product D,Drink,Vanilla,Medium,Box,Jakarta,5694,15000,4000,2024-12-01,85410000
2025-01-01,SKU11,2025,1,January,Product A,Food,Berry,Large,Box,Jakarta,2578,7500,5000,2025-01-01,19335000
2025-02-01,SKU11,2025,2,February,Product B,Food,Berry,Large,Bottle,Jakarta,1067,5000,6000,2025-02-01,5335000
2025-03-01,SKU11,2025,3,March,Product C,Drink,Chocolate,Large,Bottle,Bandung,3561,10000,6000,2025-03-01,35610000
2025-04-01,SKU11,2025,4,April,Product D,Drink,Vanilla,Large,Box,Jakarta,590,7500,5000,2025-04-01,4425000
2025-05-01,SKU11,2025,5,May,Product A,Food,Original,Medium,Bottle,Jakarta,1233,5000,5000,2025-05-01,6165000
2025-06-01,SKU11,2025,6,June,Product B,Food,Chocolate,Medium,Bottle,Bandung,5211,5000,5000,2025-06-01,26055000
2025-07-01,SKU11,2025,7,July,Product C,Drink,Chocolate,Medium,Box,Bandung,1368,7500,5000,2025-07-01,10260000
2025-08-01,SKU11,2025,8,August,Product D,Drink,Berry,Large,Box,Bandung,1664,5000,5000,2025-08-01,8320000
2025-09-01,SKU11,2025,9,September,Product A,Food,Chocolate,Large,Box,Jakarta,1598,10000,6000,2025-09-01,15980000
2025-10-01,SKU11,2025,10,October,Product B,Food,Berry,Large,Box,Jakarta,1903,10000,6000,2025-10-01,19030000
2025-11-01,SKU11,2025,11,November,Product C,Drink,Berry,Small,Bottle,Jakarta,1944,15000,5000,2025-11-01,29160000
2025-12-01,SKU11,2025,12,December,Product D,Drink,Berry,Large,Box,Bandung,829,15000,6000,2025-12-01,12435000
2026-01-01,SKU11,2026,1,January,Product A,Food,Berry,Small,Bottle,Jakarta,4564,5000,4000,2026-01-01,22820000
2026-02-01,SKU11,2026,2,February,Product B,Food,Original,Large,Box,Bandung,4817,10000,4000,2026-02-01,48170000
2026-03-01,SKU11,2026,3,March,Product C,Drink,Original,Medium,Box,Jakarta,4743,15000,6000,2026-03-01,71145000
2026-04-01,SKU11,2026,4,April,Product D,Drink,Original,Small,Bottle,Jakarta,2540,15000,5000,2026-04-01,38100000
2026-05-01,SKU11,2026,5,May,Product A,Food,Original,Small,Bottle,Bandung,2469,5000,4000,2026-05-01,12345000
2026-06-01,SKU11,2026,6,June,Product B,Food,Vanilla,Small,Bottle,Bandung,835,10000,6000,2026-06-01,8350000
2026-07-01,SKU11,2026,7,July,Product C,Drink,Original,Large,Bottle,Bandung,2437,10000,5000,2026-07-01,24370000
2026-08-01,SKU11,2026,8,August,Product D,Drink,Vanilla,Small,Box,Jakarta,4535,7500,6000,2026-08-01,34012500
2026-09-01,SKU11,2026,9,September,Product A,Food,Vanilla,Medium,Bottle,Bandung,2170,7500,4000,2026-09-01,16275000
2026-10-01,SKU11,2026,10,October,Product B,Food,Vanilla,Small,Bottle,Bandung,2765,7500,5000,2026-10-01,20737500
2026-11-01,SKU11,2026,11,November,Product C,Drink,Chocolate,Large,Bottle,Bandung,3736,15000,5000,2026-11-01,56040000
2026-12-01,SKU11,2026,12,December,Product D,Drink,Vanilla,Large,Bottle,Bandung,1646,15000,6000,2026-12-01,24690000
2024-01-01,SKU12,2024,1,January,Product A,Food,Vanilla,Large,Box,Jakarta,2924,10000,5000,2024-01-01,29240000
2024-02-01,SKU12,2024,2,February,Product B,Food,Vanilla,Medium,Bottle,Bandung,997,10000,6000,2024-02-01,9970000
2024-03-01,SKU12,2024,3,March,Product C,Drink,Original,Large,Bottle,Bandung,3263,10000,6000,2024-03-01,32630000
2024-04-01,SKU12,2024,4,April,Product D,Drink,Berry,Medium,Box,Jakarta,2952,5000,6000,2024-04-01,14760000
2024-05-01,SKU12,2024,5,May,Product A,Food,Vanilla,Small,Bottle,Bandung,1524,10000,5000,2024-05-01,15240000
2024-06-01,SKU12,2024,6,June,Product B,Food,Vanilla,Large,Box,Bandung,5240,7500,6000,2024-06-01,39300000
2024-07-01,SKU12,2024,7,July,Product C,Drink,Vanilla,Medium,Box,Bandung,1602,5000,5000,2024-07-01,8010000
2024-08-01,SKU12,2024,8,August,Product D,Drink,Chocolate,Medium,Box,Bandung,2398,15000,6000,2024-08-01,35970000
2024-09-01,SKU12,2024,9,September,Product A,Food,Chocolate,Small,Box,Jakarta,4480,10000,6000,2024-09-01,44800000
2024-10-01,SKU12,2024,10,October,Product B,Food,Vanilla,Medium,Box,Jakarta,1572,15000,4000,2024-10-01,23580000
2024-11-01,SKU12,2024,11,November,Product C,Drink,Berry,Small,Bottle,Jakarta,2356,15000,4000,2024-11-01,35340000
2024-12-01,SKU12,2024,12,December,Product D,Drink,Vanilla,Medium,Box,Bandung,5777,5000,5000,2024-12-01,28885000
2025-01-01,SKU12,2025,1,January,Product A,Food,Berry,Large,Bottle,Jakarta,3286,15000,5000,2025-01-01,49290000
2025-02-01,SKU12,2025,2,February,Product B,Food,Chocolate,Large,Bottle,Jakarta,4358,10000,6000,2025-02-01,43580000
2025-03-01,SKU12,2025,3,March,Product C,Drink,Original,Medium,Box,Bandung,2648,10000,5000,2025-03-01,26480000
2025-04-01,SKU12,2025,4,April,Product D,Drink,Berry,Medium,Box,Bandung,4524,5000,5000,2025-04-01,22620000
2025-05-01,SKU12,2025,5,May,Product A,Food,Berry,Small,Bottle,Jakarta,1261,5000,5000,2025-05-01,6305000
2025-06-01,SKU12,2025,6,June,Product B,Food,Berry,Medium,Bottle,Jakarta,3789,15000,5000,2025-06-01,56835000
2025-07-01,SKU12,2025,7,July,Product C,Drink,Original,Large,Box,Jakarta,4315,5000,5000,2025-07-01,21575000
2025-08-01,SKU12,2025,8,August,Product D,Drink,Chocolate,Medium,Box,Bandung,1356,15000,5000,2025-08-01,20340000
2025-09-01,SKU12,2025,9,September,Product A,Food,Original,Large,Box,Bandung,3059,5000,6000,2025-09-01,15295000
2025-10-01,SKU12,2025,10,October,Product B,Food,Chocolate,Small,Box,Bandung,3522,10000,6000,2025-10-01,35220000
2025-11-01,SKU12,2025,11,November,Product C,Drink,Chocolate,Medium,Box,Jakarta,6027,15000,4000,2025-11-01,90405000
2025-12-01,SKU12,2025,12,December,Product D,Drink,Vanilla,Large,Bottle,Bandung,2555,7500,4000,2025-12-01,19162500
2026-01-01,SKU12,2026,1,January,Product A,Food,Vanilla,Small,Box,Bandung,2960,5000,4000,2026-01-01,14800000
2026-02-01,SKU12,2026,2,February,Product B,Food,Chocolate,Medium,Box,Bandung,522,7500,6000,2026-02-01,3915000
2026-03-01,SKU12,2026,3,March,Product C,Drink,Chocolate,Large,Box,Bandung,2166,5000,4000,2026-03-01,10830000
2026-04-01,SKU12,2026,4,April,Product D,Drink,Vanilla,Medium,Box,Bandung,3369,10000,6000,2026-04-01,33690000
2026-05-01,SKU12,2026,5,May,Product A,Food,Chocolate,Small,Bottle,Bandung,3243,5000,4000,2026-05-01,16215000
2026-06-01,SKU12,2026,6,June,Product B,Food,Vanilla,Large,Bottle,Bandung,4810,15000,4000,2026-06-01,72150000
2026-07-01,SKU12,2026,7,July,Product C,Drink,Original,Large,Bottle,Jakarta,1185,5000,4000,2026-07-01,5925000
2026-08-01,SKU12,2026,8,August,Product D,Drink,Berry,Large,Box,Jakarta,3485,15000,4000,2026-08-01,52275000
2026-09-01,SKU12,2026,9,September,Product A,Food,Chocolate,Small,Bottle,Jakarta,1407,7500,5000,2026-09-01,10552500
2026-10-01,SKU12,2026,10,October,Product B,Food,Chocolate,Large,Box,Jakarta,3141,15000,5000,2026-10-01,47115000
2026-11-01,SKU12,2026,11,November,Product C,Drink,Vanilla,Medium,Box,Jakarta,4716,15000,5000,2026-11-01,70740000
2026-12-01,SKU12,2026,12,December,Product D,Drink,Original,Medium,Box,Bandung,3740,7500,5000,2026-12-01,28050000
