Tanggal,SKU,Tahun,Bulan,NamaBulan,Produk,Kategori,Rasa,Ukuran,Packing,Lokasi,Permintaan,Harga,Kapasitas
2024-10-01,SKU08,2024,10,October,Product B,Food,Berry,Small,Bottle,Bandung,4843,7500,4000
2024-11-01,SKU08,2024,11,November,Product C,Drink,Original,Large,Bottle,Bandung,4724,10000,6000
2024-12-01,SKU08,2024,12,December,Product D,Drink,Vanilla,Small,Box,Bandung,1592,10000,5000
2025-01-01,SKU08,2025,1,January,Product A,Food,Berry,Medium,Box,Jakarta,2161,15000,6000
2025-02-01,SKU08,2025,2,February,Product B,Food,Vanilla,Medium,Bottle,Bandung,1860,7500,5000
2025-03-01,SKU08,2025,3,March,Product C,Drink,Berry,Large,Box,Jakarta,2561,5000,6000
2025-04-01,SKU08,2025,4,April,Product D,Drink,Vanilla,Small,Bottle,Bandung,4205,5000,6000
2025-05-01,SKU08,2025,5,May,Product A,Food,Chocolate,Large,Box,Bandung,1546,7500,6000
2025-06-01,SKU08,2025,6,June,Product B,Food,Chocolate,Small,Box,Jakarta,2657,10000,4000
2025-07-01,SKU08,2025,7,July,Product C,Drink,Chocolate,Large,Bottle,Bandung,5603,7500,5000
2025-08-01,SKU08,2025,8,August,Product D,Drink,Chocolate,Large,Bottle,Jakarta,1060,5000,6000
2025-09-01,SKU08,2025,9,September,Product A,Food,Vanilla,Small,Box,Jakarta,3336,10000,4000
2025-10-01,SKU08,2025,10,October,Product B,Food,Berry,Large,Bottle,Bandung,3667,5000,6000
2025-11-01,SKU08,2025,11,November,Product C,Drink,Chocolate,Large,Box,Bandung,4109,5000,6000
2025-12-01,SKU08,2025,12,December,Product D,Drink,Berry,Large,Box,Jakarta,6480,10000,6000
2026-01-01,SKU08,2026,1,January,Product A,Food,Chocolate,Large,Bottle,Jakarta,704,5000,4000
2026-02-01,SKU08,2026,2,February,Product B,Food,Vanilla,Large,Bottle,Bandung,4955,15000,6000
2026-03-01,SKU08,2026,3,March,Product C,Drink,Vanilla,Medium,Bottle,Jakarta,3854,7500,4000
2026-04-01,SKU08,2026,4,April,Product D,Drink,Chocolate,Large,Bottle,Bandung,2465,15000,6000
2026-05-01,SKU08,2026,5,May,Product A,Food,Original,Medium,Bottle,Bandung,1189,10000,6000
2026-06-01,SKU08,2026,6,June,Product B,Food,Berry,Large,Bottle,Jakarta,2898,15000,6000
2026-07-01,SKU08,2026,7,July,Product C,Drink,Vanilla,Medium,Box,Bandung,1539,10000,4000
2026-08-01,SKU08,2026,8,August,Product D,Drink,Chocolate,Small,Box,Jakarta,2419,10000,4000
2026-09-01,SKU08,2026,9,September,Product A,Food,Vanilla,Small,Bottle,Jakarta,4194,10000,6000
2026-10-01,SKU08,2026,10,October,Product B,Food,Berry,Large,Box,Bandung,727,10000,4000
2026-11-01,SKU08,2026,11,November,Product C,Drink,Original,Small,Box,Bandung,2553,7500,5000
2026-12-01,SKU08,2026,12,December,Product D,Drink,Original,Medium,Bottle,Bandung,5578,5000,6000
2024-01-01,SKU09,2024,1,January,Product A,Food,Chocolate,Small,Box,Jakarta,681,10000,4000
2024-02-01,SKU09,2024,2,February,Product B,Food,Original,Medium,Box,Bandung,4063,7500,4000
2024-03-01,SKU09,2024,3,March,Product C,Drink,Chocolate,Medium,Bottle,Jakarta,4827,5000,4000
2024-04-01,SKU09,2024,4,April,Product D,Drink,Chocolate,Small,Box,Jakarta,3474,5000,6000
2024-05-01,SKU09,2024,5,May,Product A,Food,Chocolate,Small,Box,Bandung,539,10000,6000
2024-06-01,SKU09,2024,6,June,Product B,Food,Chocolate,Medium,Bottle,Jakarta,2985,7500,6000
2024-07-01,SKU09,2024,7,July,Product C,Drink,Vanilla,Large,Bottle,Jakarta,4283,7500,5000
2024-08-01,SKU09,2024,8,August,Product D,Drink,Berry,Small,Box,Bandung,627,15000,4000
2024-09-01,SKU09,2024,9,September,Product A,Food,Berry,Medium,Bottle,Jakarta,4305,7500,5000
2024-10-01,SKU09,2024,10,October,Product B,Food,Berry,Small,Bottle,Jakarta,3859,7500,5000
2024-11-01,SKU09,2024,11,November,Product C,Drink,Vanilla,Medium,Bottle,Bandung,2195,7500,6000
2024-12-01,SKU09,2024,12,December,Product D,Drink,Chocolate,Large,Box,Jakarta,5014,5000,6000
2025-01-01,SKU09,2025,1,January,Product A,Food,Berry,Medium,Bottle,Jakarta,3522,15000,5000
2025-02-01,SKU09,2025,2,February,Product B,Food,Berry,Medium,Bottle,Bandung,1274,15000,6000
2025-03-01,SKU09,2025,3,March,Product C,Drink,Chocolate,Large,Bottle,Jakarta,3514,10000,4000
2025-04-01,SKU09,2025,4,April,Product D,Drink,Berry,Small,Bottle,Jakarta,4687,10000,6000
2025-05-01,SKU09,2025,5,May,Product A,Food,Chocolate,Medium,Box,Bandung,4329,10000,4000
2025-06-01,SKU09,2025,6,June,Product B,Food,Chocolate,Large,Box,Bandung,4617,7500,5000
2025-07-01,SKU09,2025,7,July,Product C,Drink,Berry,Large,Box,Bandung,4124,10000,4000
2025-08-01,SKU09,2025,8,August,Product D,Drink,Vanilla,Small,Box,Bandung,3161,7500,5000
2025-09-01,SKU09,2025,9,September,Product A,Food,Chocolate,Large,Box,Jakarta,2315,5000,6000
2025-10-01,SKU09,2025,10,October,Product B,Food,Vanilla,Small,Bottle,Bandung,1078,5000,4000
2025-11-01,SKU09,2025,11,November,Product C,Drink,Original,Small,Bottle,Jakarta,5448,15000,4000
2025-12-01,SKU09,2025,12,December,Product D,Drink,Chocolate,Large,Box,Jakarta,4843,10000,4000
2026-01-01,SKU09,2026,1,January,Product A,Food,Berry,Small,Box,Bandung,4047,10000,4000
2026-02-01,SKU09,2026,2,February,Product B,Food,Chocolate,Small,Bottle,Jakarta,582,15000,6000
2026-03-01,SKU09,2026,3,March,Product C,Drink,Original,Large,Bottle,Jakarta,1285,15000,4000
2026-04-01,SKU09,2026,4,April,Product D,Drink,Berry,Small,Box,Bandung,3194,10000,5000
2026-05-01,SKU09,2026,5,May,Product A,Food,Berry,Small,Box,Bandung,863,7500,4000
2026-06-01,SKU09,2026,6,June,Product B,Food,Berry,Small,Bottle,Bandung,4235,5000,6000
2026-07-01,SKU09,2026,7,July,Product C,Drink,Vanilla,Medium,Bottle,Bandung,3492,5000,6000
2026-08-01,SKU09,2026,8,August,Product D,Drink,Chocolate,Medium,Box,Jakarta,1773,5000,6000
2026-09-01,SKU09,2026,9,September,Product A,Food,Chocolate,Medium,Box,Jakarta,2264,5000,6000
2026-10-01,SKU09,2026,10,October,Product B,Food,Original,Medium,Box,Jakarta,3527,5000,4000
2026-11-01,SKU09,2026,11,November,Product C,Drink,Chocolate,Large,Box,Jakarta,1599,15000,5000
2026-12-01,SKU09,2026,12,December,Product D,Drink,Chocolate,Large,Box,Bandung,1285,15000,4000
2024-01-01,SKU10,2024,1,January,Product A,Food,Original,Medium,Bottle,Jakarta,2900,7500,5000
2024-02-01,SKU10,2024,2,February,Product B,Food,Vanilla,Small,Bottle,Jakarta,964,5000,5000
2024-03-01,SKU10,2024,3,March,Product C,Drink,Chocolate,Large,Box,Jakarta,920,7500,6000
2024-04-01,SKU10,2024,4,April,Product D,Drink,Berry,Small,Box,Bandung,3380,7500,5000
2024-05-01,SKU10,2024,5,May,Product A,Food,Chocolate,Large,Bottle,Bandung,3038,10000,4000
2024-06-01,SKU10,2024,6,June,Product B,Food,Berry,Large,Box,Jakarta,2156,5000,6000
2024-07-01,SKU10,2024,7,July,Product C,Drink,Original,Large,Box,Bandung,1952,10000,4000
2024-08-01,SKU10,2024,8,August,Product D,Drink,Berry,Small,Box,Jakarta,3346,10000,6000
2024-09-01,SKU10,2024,9,September,Product A,Food,Chocolate,Medium,Box,Jakarta,4238,5000,4000
2024-10-01,SKU10,2024,10,October,Product B,Food,Chocolate,Large,Box,Bandung,731,7500,5000
2024-11-01,SKU10,2024,11,November,Product C,Drink,Chocolate,Large,Bottle,Bandung,6455,15000,6000
2024-12-01,SKU10,2024,12,December,Product D,Drink,Chocolate,Small,Bottle,Jakarta,779,10000,5000
2025-01-01,SKU10,2025,1,January,Product A,Food,Original,Small,Box,Jakarta,1309,7500,6000
2025-02-01,SKU10,2025,2,February,Product B,Food,Vanilla,Small,Box,Jakarta,1979,5000,5000
2025-03-01,SKU10,2025,3,March,Product C,Drink,Chocolate,Large,Box,Bandung,4347,10000,5000
2025-04-01,SKU10,2025,4,April,Product D,Drink,Chocolate,Large,Bottle,Bandung,1330,7500,5000
2025-05-01,SKU10,2025,5,May,Product A,Food,Chocolate,Small,Bottle,Jakarta,4079,5000,6000
2025-06-01,SKU10,2025,6,June,Product B,Food,Berry,Small,Bottle,Bandung,5020,10000,5000
2025-07-01,SKU10,2025,7,July,Product C,Drink,Berry,Medium,Box,Bandung,3018,5000,5000
2025-08-01,SKU10,2025,8,August,Product D,Drink,Vanilla,Large,Box,Bandung,3417,7500,6000
2025-09-01,SKU10,2025,9,September,Product A,Food,Berry,Large,Bottle,Bandung,1963,7500,6000
2025-10-01,SKU10,2025,10,October,Product B,Food,Vanilla,Medium,Box,Jakarta,2598,15000,6000
2025-11-01,SKU10,2025,11,November,Product C,Drink,Chocolate,Small,Bottle,Bandung,6163,15000,5000
2025-12-01,SKU10,2025,12,December,Product D,Drink,Chocolate,Large,Box,Jakarta,2086,15000,6000
2026-01-01,SKU10,2026,1,January,Product A,Food,Original,Small,Box,Bandung,601,15000,4000
2026-02-01,SKU10,2026,2,February,Product B,Food,Chocolate,Small,Box,Jakarta,4852,5000,5000
2026-03-01,SKU10,2026,3,March,Product C,Drink,Chocolate,Large,Bottle,Bandung,1670,15000,5000
2026-04-01,SKU10,2026,4,April,Product D,Drink,Chocolate,Medium,Bottle,Jakarta,3443,15000,5000
2026-05-01,SKU10,2026,5,May,Product A,Food,Original,Large,Box,Jakarta,839,10000,6000
2026-06-01,SKU10,2026,6,June,Product B,Food,Vanilla,Large,Box,Bandung,5591,5000,4000
2026-07-01,SKU10,2026,7,July,Product C,Drink,Chocolate,Large,Box,Jakarta,5328,10000,4000
2026-08-01,SKU10,2026,8,August,Product D,Drink,Original,Medium,Bottle,Bandung,4407,7500,6000
2026-09-01,SKU10,2026,9,September,Product A,Food,Chocolate,Small,Box,Jakarta,2410,10000,4000
2026-10-01,SKU10,2026,10,October,Product B,Food,Vanilla,Large,Bottle,Bandung,4015,10000,5000
2026-11-01,SKU10,2026,11,November,Product C,Drink,Vanilla,Large,Bottle,Jakarta,2404,10000,4000
2026-12-01,SKU10,2026,12,December,Product D,Drink,Original,Medium,Bottle,Bandung,2343,5000,4000
2024-01-01,SKU11,2024,1,January,Product A,Food,Berry,Medium,Box,Bandung,4997,15000,6000
2024-02-01,SKU11,2024,2,February,Product B,Food,Chocolate,Medium,Bottle,Jakarta,4942,5000,4000
2024-03-01,SKU11,2024,3,March,Product C,Drink,Chocolate,Large,Bottle,Bandung,2660,15000,4000
2024-04-01,SKU11,2024,4,April,Product D,Drink,Chocolate,Large,Box,Bandung,3930,5000,5000
2024-05-01,SKU11,2024,5,May,Product A,Food,Berry,Medium,Box,Jakarta,1979,15000,5000
2024-06-01,SKU11,2024,6,June,Product B,Food,Chocolate,Small,Box,Jakarta,1798,5000,6000
2024-07-01,SKU11,2024,7,July,Product C,Drink,Berry,Small,Box,Jakarta,3772,7500,6000
2024-08-01,SKU11,2024,8,August,Product D,Drink,Chocolate,Small,Bottle,Jakarta,2032,7500,6000
2024-09-01,SKU11,2024,9,September,Product A,Food,Original,Medium,Box,Jakarta,763,5000,6000
2024-10-01,SKU11,2024,10,October,Product B,Food,Chocolate,Small,Box,Bandung,4919,15000,6000
2024-11-01,SKU11,2024,11,November,Product C,Drink,Vanilla,Medium,Box,Bandung,4675,5000,5000
2024-12-01,SKU11,2024,12,December,Product D,Drink,Vanilla,Medium,Box,Jakarta,5694,15000,4000
2025-01-01,SKU11,2025,1,January,Product A,Food,Berry,Large,Box,Jakarta,2578,7500,5000
2025-02-01,SKU11,2025,2,February,Product B,Food,Berry,Large,Bottle,Jakarta,1067,5000,6000
2025-03-01,SKU11,2025,3,March,Product C,Drink,Chocolate,Large,Bottle,Bandung,3561,10000,6000
2025-04-01,SKU11,2025,4,April,Product D,Drink,Vanilla,Large,Box,Jakarta,590,7500,5000
2025-05-01,SKU11,2025,5,May,Product A,Food,Original,Medium,Bottle,Jakarta,1233,5000,5000
2025-06-01,SKU11,2025,6,June,Product B,Food,Chocolate,Medium,Bottle,Bandung,5211,5000,5000
2025-07-01,SKU11,2025,7,July,Product C,Drink,Chocolate,Medium,Box,Bandung,1368,7500,5000
2025-08-01,SKU11,2025,8,August,Product D,Drink,Berry,Large,Box,Bandung,1664,5000,5000
2025-09-01,SKU11,2025,9,September,Product A,Food,Chocolate,Large,Box,Jakarta,1598,10000,6000
2025-10-01,SKU11,2025,10,October,Product B,Food,Berry,Large,Box,Jakarta,1903,10000,6000
2025-11-01,SKU11,2025,11,November,Product C,Drink,Berry,Small,Bottle,Jakarta,1944,15000,5000
2025-12-01,SKU11,2025,12,December,Product D,Drink,Berry,Large,Box,Bandung,829,15000,6000
2026-01-01,SKU11,2026,1,January,Product A,Food,Berry,Small,Bottle,Jakarta,4564,5000,4000
2026-02-01,SKU11,2026,2,February,Product B,Food,Original,Large,Box,Bandung,4817,10000,4000
2026-03-01,SKU11,2026,3,March,Product C,Drink,Original,Medium,Box,Jakarta,4743,15000,6000
2026-04-01,SKU11,2026,4,April,Product D,Drink,Original,Small,Bottle,Jakarta,2540,15000,5000
2026-05-01,SKU11,2026,5,May,Product A,Food,Original,Small,Bottle,Bandung,2469,5000,4000
2026-06-01,SKU11,2026,6,June,Product B,Food,Vanilla,Small,Bottle,Bandung,835,10000,6000
2026-07-01,SKU11,2026,7,July,Product C,Drink,Original,Large,Bottle,Bandung,2437,10000,5000
2026-08-01,SKU11,2026,8,August,Product D,Drink,Vanilla,Small,Box,Jakarta,4535,7500,6000
2026-09-01,SKU11,2026,9,September,Product A,Food,Vanilla,Medium,Bottle,Bandung,2170,7500,4000
2026-10-01,SKU11,2026,10,October,Product B,Food,Vanilla,Small,Bottle,Bandung,2765,7500,5000
2026-11-01,SKU11,2026,11,November,Product C,Drink,Chocolate,Large,Bottle,Bandung,3736,15000,5000
2026-12-01,SKU11,2026,12,December,Product D,Drink,Vanilla,Large,Bottle,Bandung,1646,15000,6000
2024-01-01,SKU12,2024,1,January,Product A,Food,Vanilla,Large,Box,Jakarta,2924,10000,5000
2024-02-01,SKU12,2024,2,February,Product B,Food,Vanilla,Medium,Bottle,Bandung,997,10000,6000
2024-03-01,SKU12,2024,3,March,Product C,Drink,Original,Large,Bottle,Bandung,3263,10000,6000
2024-04-01,SKU12,2024,4,April,Product D,Drink,Berry,Medium,Box,Jakarta,2952,5000,6000
2024-05-01,SKU12,2024,5,May,Product A,Food,Vanilla,Small,Bottle,Bandung,1524,10000,5000
2024-06-01,SKU12,2024,6,June,Product B,Food,Vanilla,Large,Box,Bandung,5240,7500,6000
2024-07-01,SKU12,2024,7,July,Product C,Drink,Vanilla,Medium,Box,Bandung,1602,5000,5000
2024-08-01,SKU12,2024,8,August,Product D,Drink,Chocolate,Medium,Box,Bandung,2398,15000,6000
2024-09-01,SKU12,2024,9,September,Product A,Food,Chocolate,Small,Box,Jakarta,4480,10000,6000
2024-10-01,SKU12,2024,10,October,Product B,Food,Vanilla,Medium,Box,Jakarta,1572,15000,4000
2024-11-01,SKU12,2024,11,November,Product C,Drink,Berry,Small,Bottle,Jakarta,2356,15000,4000
2024-12-01,SKU12,2024,12,December,Product D,Drink,Vanilla,Medium,Box,Bandung,5777,5000,5000
2025-01-01,SKU12,2025,1,January,Product A,Food,Berry,Large,Bottle,Jakarta,3286,15000,5000
2025-02-01,SKU12,2025,2,February,Product B,Food,Chocolate,Large,Bottle,Jakarta,4358,10000,6000
2025-03-01,SKU12,2025,3,March,Product C,Drink,Original,Medium,Box,Bandung,2648,10000,5000
2025-04-01,SKU12,2025,4,April,Product D,Drink,Berry,Medium,Box,Bandung,4524,5000,5000
2025-05-01,SKU12,2025,5,May,Product A,Food,Berry,Small,Bottle,Jakarta,1261,5000,5000
2025-06-01,SKU12,2025,6,June,Product B,Food,Berry,Medium,Bottle,Jakarta,3789,15000,5000
2025-07-01,SKU12,2025,7,July,Product C,Drink,Original,Large,Box,Jakarta,4315,5000,5000
2025-08-01,SKU12,2025,8,August,Product D,Drink,Chocolate,Medium,Box,Bandung,1356,15000,5000
2025-09-01,SKU12,2025,9,September,Product A,Food,Original,Large,Box,Bandung,3059,5000,6000
2025-10-01,SKU12,2025,10,October,Product B,Food,Chocolate,Small,Box,Bandung,3522,10000,6000
2025-11-01,SKU12,2025,11,November,Product C,Drink,Chocolate,Medium,Box,Jakarta,6027,15000,4000
2025-12-01,SKU12,2025,12,December,Product D,Drink,Vanilla,Large,Bottle,Bandung,2555,7500,4000
2026-01-01,SKU12,2026,1,January,Product A,Food,Vanilla,Small,Box,Bandung,2960,5000,4000
2026-02-01,SKU12,2026,2,February,Product B,Food,Chocolate,Medium,Box,Bandung,522,7500,6000
2026-03-01,SKU12,2026,3,March,Product C,Drink,Chocolate,Large,Box,Bandung,2166,5000,4000
2026-04-01,SKU12,2026,4,April,Product D,Drink,Vanilla,Medium,Box,Bandung,3369,10000,6000
2026-05-01,SKU12,2026,5,May,Product A,Food,Chocolate,Small,Bottle,Bandung,3243,5000,4000
2026-06-01,SKU12,2026,6,June,Product B,Food,Vanilla,Large,Bottle,Bandung,4810,15000,4000
2026-07-01,SKU12,2026,7,July,Product C,Drink,Original,Large,Bottle,Jakarta,1185,5000,4000
2026-08-01,SKU12,2026,8,August,Product D,Drink,Berry,Large,Box,Jakarta,3485,15000,4000
2026-09-01,SKU12,2026,9,September,Product A,Food,Chocolate,Small,Bottle,Jakarta,1407,7500,5000
2026-10-01,SKU12,2026,10,October,Product B,Food,Chocolate,Large,Box,Jakarta,3141,15000,5000
2026-11-01,SKU12,2026,11,November,Product C,Drink,Vanilla,Medium,Box,Jakarta,4716,15000,5000
2026-12-01,SKU12,2026,12,December,Product D,Drink,Original,Medium,Box,Bandung,3740,7500,5000
